transition,target,condition,gene,direction,recipe_rank,weight,lof_fraction,gof_fraction,neither_fraction,ensembl_id,OT_SM_bucket,OT_AB_bucket,OT_PR_bucket,OT_top_bucket,n_drugs,delivery_call,note
toward_Th1_Rest,toward_Th1,Rest,MUTYH,knockdown,11,0.114908,0.3927,0.2535,0.3538,ENSG00000132781,Structure with Ligand,,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,MAGED2,knockdown,12,0.114687,0.3927,0.2535,0.3538,ENSG00000102316,,GO CC high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,DGKE,knockdown,13,0.110985,0.3927,0.2535,0.3538,ENSG00000153933,,GO CC high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,CCDC150,knockdown,14,0.109705,0.3927,0.2535,0.3538,ENSG00000144395,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Rest,toward_Th1,Rest,MAP1LC3B,knockdown,15,0.109531,0.3927,0.2535,0.3538,ENSG00000140941,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Rest,toward_Th1,Rest,DENND10,activation,1,0.135281,0.3927,0.2535,0.3538,ENSG00000119979,,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,WWP2,activation,2,0.132487,0.3927,0.2535,0.3538,ENSG00000198373,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,SP100,activation,3,0.132462,0.3927,0.2535,0.3538,ENSG00000067066,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,ITPR3,activation,4,0.127974,0.3927,0.2535,0.3538,ENSG00000096433,Structure with Ligand,GO CC high conf,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,CREBZF,activation,5,0.120082,0.3927,0.2535,0.3538,ENSG00000137504,,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,MAPK14,activation,6,0.112849,0.3927,0.2535,0.3538,ENSG00000112062,Advanced Clinical,GO CC high conf,Literature,clinical drug,28,CRISPRa or SM agonist (ligandable: Advanced Clinical),Activation direction; SM handle exists but agonism is rare — CRISPRa/ORF is the reliable route. GOF is a CRISPRa hypothesis from the sign-flip model.
toward_Th1_Rest,toward_Th1,Rest,IRF1,activation,7,0.109075,0.3927,0.2535,0.3538,ENSG00000125347,,,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,GALK1,activation,8,0.108154,0.3927,0.2535,0.3538,ENSG00000108479,Structure with Ligand,,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,HDHD2,activation,9,0.105856,0.3927,0.2535,0.3538,ENSG00000167220,Med-Quality Pocket,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,RBM26,activation,10,0.105004,0.3927,0.2535,0.3538,ENSG00000139746,,,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,UBA2,activation,11,0.101324,0.3927,0.2535,0.3538,ENSG00000126261,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,ST6GALNAC4,activation,12,0.101261,0.3927,0.2535,0.3538,ENSG00000136840,,UniProt SigP or TMHMM,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,SIN3A,activation,13,0.100766,0.3927,0.2535,0.3538,ENSG00000169375,,,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,EHMT2,activation,14,0.096821,0.3927,0.2535,0.3538,ENSG00000204371,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Rest,toward_Th1,Rest,POLI,activation,15,0.095818,0.3927,0.2535,0.3538,ENSG00000101751,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,AGTPBP1,knockdown,1,0.166462,0.2741,0.2605,0.4654,ENSG00000135049,,GO CC high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,RARA,knockdown,2,0.150503,0.2741,0.2605,0.4654,ENSG00000131759,Approved Drug,GO CC high conf,Literature,clinical drug,11,CRISPRi (SM inhibitor available: 11 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,HERC1,knockdown,3,0.140739,0.2741,0.2605,0.4654,ENSG00000103657,Structure with Ligand,UniProt loc med conf,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,DPH1,knockdown,4,0.138043,0.2741,0.2605,0.4654,ENSG00000108963,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,MAMLD1,knockdown,5,0.134528,0.2741,0.2605,0.4654,ENSG00000013619,,,,undruggable (no handle),0,CRISPRi/shRNA (no SM tractability),Suppression needed; no OT tractability handle at all — CRISPRi/shRNA only.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,HELLS,knockdown,6,0.134336,0.2741,0.2605,0.4654,ENSG00000119969,Structure with Ligand,,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,ITPKB,knockdown,7,0.133806,0.2741,0.2605,0.4654,ENSG00000143772,High-Quality Ligand,,Half-life Data,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: High-Quality Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,PLCL2,knockdown,8,0.130282,0.2741,0.2605,0.4654,ENSG00000154822,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,MSC,knockdown,9,0.126264,0.2741,0.2605,0.4654,ENSG00000178860,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,FKRP,knockdown,10,0.124037,0.2741,0.2605,0.4654,ENSG00000181027,Structure with Ligand,UniProt loc high conf,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,ICOS,knockdown,11,0.122454,0.2741,0.2605,0.4654,ENSG00000163600,,Advanced Clinical,Small Molecule Binder,clinical drug,4,CRISPRi or antibody blockade (surface; 4 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,RRP1B,knockdown,12,0.118762,0.2741,0.2605,0.4654,ENSG00000160208,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,FBXO32,knockdown,13,0.118627,0.2741,0.2605,0.4654,ENSG00000156804,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,IPP,knockdown,14,0.117709,0.2741,0.2605,0.4654,ENSG00000197429,Druggable Family,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,DHX34,knockdown,15,0.116214,0.2741,0.2605,0.4654,ENSG00000134815,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,ZBTB49,activation,1,0.175353,0.2741,0.2605,0.4654,ENSG00000168826,,,,undruggable (no handle),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,AP5S1,activation,2,0.164089,0.2741,0.2605,0.4654,ENSG00000125843,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,PEX16,activation,3,0.128972,0.2741,0.2605,0.4654,ENSG00000121680,,UniProt SigP or TMHMM,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,APOBEC3F,activation,4,0.127764,0.2741,0.2605,0.4654,ENSG00000128394,,,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,TXNDC5,activation,5,0.12172,0.2741,0.2605,0.4654,ENSG00000239264,,GO CC high conf,Database Ubiquitination,AB-tractable (surface),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,IFNGR1,activation,6,0.11792,0.2741,0.2605,0.4654,ENSG00000027697,Structure with Ligand,UniProt loc high conf,UniProt Ubiquitination,SM-tractable (ligandable),1,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,WDR54,activation,7,0.117552,0.2741,0.2605,0.4654,ENSG00000005448,,UniProt loc med conf,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,RTL8C,activation,8,0.113369,0.2741,0.2605,0.4654,ENSG00000134590,,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,TMEM87A,activation,9,0.108512,0.2741,0.2605,0.4654,ENSG00000103978,Structure with Ligand,UniProt loc high conf,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,NOP9,activation,10,0.106001,0.2741,0.2605,0.4654,ENSG00000196943,,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,MAP2K2,activation,11,0.104645,0.2741,0.2605,0.4654,ENSG00000126934,Approved Drug,UniProt loc high conf,Literature,clinical drug,18,CRISPRa or SM agonist (ligandable: Approved Drug),Activation direction; SM handle exists but agonism is rare — CRISPRa/ORF is the reliable route. GOF is a CRISPRa hypothesis from the sign-flip model.
toward_Th1_Stim8hr,toward_Th1,Stim8hr,CEP350,activation,12,0.103313,0.2741,0.2605,0.4654,ENSG00000135837,,,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,RREB1,activation,13,0.102771,0.2741,0.2605,0.4654,ENSG00000124782,,,UniProt Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,KDM5C,activation,14,0.100075,0.2741,0.2605,0.4654,ENSG00000126012,Structure with Ligand,,UniProt Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim8hr,toward_Th1,Stim8hr,PACS1,activation,15,0.099631,0.2741,0.2605,0.4654,ENSG00000175115,,Human Protein Atlas loc,Database Ubiquitination,degrader-only (PREDICTED),0,"CRISPRa or ORF overexpression (activation, not SM-druggable)","Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
toward_Th1_Stim48hr,toward_Th1,Stim48hr,FBXO32,knockdown,1,0.229947,0.284,0.263,0.4531,ENSG00000156804,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,ICOS,knockdown,2,0.170618,0.284,0.263,0.4531,ENSG00000163600,,Advanced Clinical,Small Molecule Binder,clinical drug,4,CRISPRi or antibody blockade (surface; 4 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,KLHL6,knockdown,3,0.168955,0.284,0.263,0.4531,ENSG00000172578,Druggable Family,Human Protein Atlas loc,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,RARA,knockdown,4,0.165604,0.284,0.263,0.4531,ENSG00000131759,Approved Drug,GO CC high conf,Literature,clinical drug,11,CRISPRi (SM inhibitor available: 11 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,ATG5,knockdown,5,0.152792,0.284,0.263,0.4531,ENSG00000057663,,UniProt loc med conf,UniProt Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,KIF5B,knockdown,6,0.146044,0.284,0.263,0.4531,ENSG00000170759,Approved Drug,UniProt loc high conf,UniProt Ubiquitination,clinical drug,2,CRISPRi (SM inhibitor available: 2 drugs),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,APPBP2,knockdown,7,0.129884,0.284,0.263,0.4531,ENSG00000062725,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,SNX4,knockdown,8,0.12971,0.284,0.263,0.4531,ENSG00000114520,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,RNF139,knockdown,9,0.127575,0.284,0.263,0.4531,ENSG00000170881,,UniProt SigP or TMHMM,UniProt Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,RPGR,knockdown,10,0.125288,0.284,0.263,0.4531,ENSG00000156313,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,BICD1,knockdown,11,0.119966,0.284,0.263,0.4531,ENSG00000151746,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,SNX5,knockdown,12,0.119824,0.284,0.263,0.4531,ENSG00000089006,,UniProt loc high conf,Database Ubiquitination,AB-tractable (surface),0,CRISPRi or antibody blockade (surface protein),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,SPAG4,knockdown,13,0.119213,0.284,0.263,0.4531,ENSG00000061656,,UniProt SigP or TMHMM,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,ATG10,knockdown,14,0.118799,0.284,0.263,0.4531,ENSG00000152348,,,Database Ubiquitination,degrader-only (PREDICTED),0,CRISPRi/degrader (no SM tractability; degrader PREDICTED only),Suppression needed; only PREDICTED ubiquitination handle (no real SM/AB) — genetic CRISPRi/shRNA is the dependable route.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,CISD3,knockdown,15,0.117411,0.284,0.263,0.4531,ENSG00000277972,Structure with Ligand,,Half-life Data,SM-tractable (ligandable),0,CRISPRi or SM inhibitor (ligandable: Structure with Ligand),Suppression direction maps onto an existing pharmacological handle.
toward_Th1_Stim48hr,toward_Th1,Stim48hr,GBP5,activation,1,0.149168,0.284,0.263,0.4531,ENSG00000154451,Structure with Ligand,,Database Ubiquitination,SM-tractable (ligandable),0,CRISPRa or SM agonist (ligandable: Structure with Ligand),"Activation not addressable by SM/AB tractability (those handles block/degrade, not induce); requires CRISPRa/ORF. GOF direction is a CRISPRa hypothesis from the sign-flip model, not a measured activation effect."
